IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
172.20.0.5,,80,tcp,0.0,Log,70,"","Allowed HTTP Methods Enumeration","Enumerates which HTTP methods are allowed.","The following list contains the URLs and corresponding supported HTTP methods.

URL                | HTTP Methods
---------------------------------
http://172.20.0.5/ | GET,HEAD
",1.3.6.1.4.1.25623.1.0.153974,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,3e469f16-44ab-4670-8825-991616d77340,"","","","'- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT,
  OPTIONS, TRACE

  - Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECKOUT, COPY, LABEL, LINK, LOCK,
  MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI,
  PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UNLOCK, UPDATE,
  UPDATEREDIRECTREF, VERSION-CONTROL","Sends multiple HTTP requests and checks the responses.

  Disclaimer:

  - This enumeration script is provided 'as is' (means no support is given) and only providing
  rudimentary information about the possible enabled methods

  - This script doesn't guarantee completeness or full reliability

  For more reliable determination of the enabled HTTP methods please inspect the configuration of
  the web server manually and directly on the target host.
Details:
Allowed HTTP Methods Enumeration
(OID: 1.3.6.1.4.1.25623.1.0.153974)
Version used: 2025-02-28T05:38:49Z
","","","",""
172.20.0.3,,3000,tcp,0.0,Log,70,"","Allowed HTTP Methods Enumeration","Enumerates which HTTP methods are allowed.","The following list contains the URLs and corresponding supported HTTP methods.

URL                     | HTTP Methods
----------------------------------------------------------------
http://172.20.0.3:3000/ | GET,HEAD,POST,PUT,DELETE,OPTIONS,TRACE
",1.3.6.1.4.1.25623.1.0.153974,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,411c4adb-60f9-44ae-9b09-704211da0579,"","","","'- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT,
  OPTIONS, TRACE

  - Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECKOUT, COPY, LABEL, LINK, LOCK,
  MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI,
  PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UNLOCK, UPDATE,
  UPDATEREDIRECTREF, VERSION-CONTROL","Sends multiple HTTP requests and checks the responses.

  Disclaimer:

  - This enumeration script is provided 'as is' (means no support is given) and only providing
  rudimentary information about the possible enabled methods

  - This script doesn't guarantee completeness or full reliability

  For more reliable determination of the enabled HTTP methods please inspect the configuration of
  the web server manually and directly on the target host.
Details:
Allowed HTTP Methods Enumeration
(OID: 1.3.6.1.4.1.25623.1.0.153974)
Version used: 2025-02-28T05:38:49Z
","","","",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server HTTP/2 connection DoS Vulnerability","Apache HTTP Server is prone to a denial of service (DoS) vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.34
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.813812,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,b630545a-a9ef-4cbf-8671-d6fe68225bae,"Successful exploitation will allow remote
  attackers to cause a denial of service (DoS) condition on a targeted system.","Update to Apache HTTP Server 2.4.34 or
  later. Please see the references for more information.","Apache HTTP Server versions 2.4.18 through
  2.4.30 and 2.4.33.","The flaw is due to an error in the handling
  of specially crafted HTTP/2 requests.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 'HTTP/2 connection' DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.813812)
Version used: 2023-10-27T16:11:32Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2019-0359,DFN-CERT-2019-0351,DFN-CERT-2018-2316,DFN-CERT-2018-2011,DFN-CERT-2018-1642,DFN-CERT-2018-1412,CB-K18/0805",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server mod_http2 null pointer dereference DoS Vulnerability - Linux","Apache HTTP Server is prone to a denial of service (DoS) vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.26
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.811218,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,5483d919-cadc-499f-85e3-0a3470e1184b,"Successful exploitation will allow remote
  attackers to cause a denial-of-service condition.","Update to Apache HTTP Server 2.4.26 or
  later.","Apache HTTP Server version 2.4.25.","The flaw exists as a maliciously constructed
  HTTP/2 request could cause mod_http2 to dereference a NULL pointer and crash
  the server process.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 'mod_http2' null pointer dereference DoS Vulnerability - ...
(OID: 1.3.6.1.4.1.25623.1.0.811218)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2019-0358,DFN-CERT-2018-0206,DFN-CERT-2017-1925,DFN-CERT-2017-1692,DFN-CERT-2017-1443,DFN-CERT-2017-1058,WID-SEC-2025-0370,CB-K18/0187,CB-K17/1854,CB-K17/1622,CB-K17/1382,CB-K17/1023",""
172.20.0.2,,80,tcp,6.1,Medium,30,"VendorFix","Apache HTTP Server 2.4.0 - 2.4.40 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.41
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114143,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,eebe6936-8a88-4ba8-b5aa-b51ddc152a3c,"","Update to version 2.4.41 or later.","Apache HTTP Server version 2.4.0 to 2.4.40.","Apache HTTP server is prone to multiple vulnerabilities:

  - A limited cross-site scripting issue affecting the mod_proxy error page. An attacker
  could cause the link on the error page to be malformed and instead point to a page of
  their choice. This would be exploitable where a server was set up with proxying enabled
  but was misconfigured in such a way that the Proxy Error page was displayed. (CVE-2019-10092)

  - Redirects configured with mod_rewrite that were intended to be self referential
  might be fooled by encoded newlines and redirect instead to an unexpected URL within
  the request URL. (CVE-2019-10098)","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.0 - 2.4.40 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114143)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2021-1333,DFN-CERT-2021-0540,DFN-CERT-2020-2422,DFN-CERT-2020-2133,DFN-CERT-2020-1124,DFN-CERT-2020-0716,DFN-CERT-2020-0090,DFN-CERT-2019-2592,DFN-CERT-2019-2169,DFN-CERT-2019-1961,DFN-CERT-2019-1810,DFN-CERT-2019-1797,DFN-CERT-2019-1751,WID-SEC-2024-1591,CB-K20/1030,CB-K20/0708,CB-K20/0043,CB-K19/0909,CB-K19/0728",""
172.20.0.2,,80,tcp,6.1,Medium,30,"VendorFix","Apache HTTP Server 2.4.0 < 2.4.42 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.42
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.143671,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,592a66e0-cac1-4633-bd71-71235cfa1b68,"","Update to version 2.4.42 or later.","Apache HTTP Server version 2.4.0 to 2.4.41.","Apache HTTP Server is prone to multiple vulnerabilities:

  - mod_rewrite CWE-601 open redirect (CVE-2020-1927)

  - mod_proxy_ftp use of uninitialized value (CVE-2020-1934)","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.0 < 2.4.42 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.143671)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2022-1610,DFN-CERT-2022-0074,DFN-CERT-2021-1467,DFN-CERT-2020-2422,DFN-CERT-2020-2133,DFN-CERT-2020-1854,DFN-CERT-2020-1793,DFN-CERT-2020-1538,DFN-CERT-2020-1335,DFN-CERT-2020-1289,DFN-CERT-2020-1124,DFN-CERT-2020-0850,DFN-CERT-2020-0835,DFN-CERT-2020-0688,WID-SEC-2024-1591,WID-SEC-2023-0063,WID-SEC-2022-0757,CB-K20/1030,CB-K20/0708,CB-K20/0691,CB-K20/0280",""
172.20.0.2,,80,tcp,5.9,Medium,30,"VendorFix","Apache HTTP Server 2.4.17 - 2.4.57 DoS Vulnerability - Linux","Apache HTTP Server is prone to a denial of service (DoS)
  vulnerability.","Installed version: 2.4.25
Fixed version:     2.4.58
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.100310,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,d2db026f-a1e6-4dd3-93f3-3bbba54bcb19,"","Update to version 2.4.58 or later.","Apache HTTP Server version 2.4.17 through 2.4.57.","When a HTTP/2 stream was reset (RST frame) by a client, there
  was a time window were the request's memory resources were not reclaimed immediately. Instead,
  de-allocation was deferred to connection close. A client could send new requests and resets,
  keeping the connection busy and open and causing the memory footprint to keep on growing. On
  connection close, all resources were reclaimed, but the process might run out of memory before
  that.

  This was found by the reporter during testing of CVE-2023-44487 (HTTP/2 Rapid Reset Exploit) with
  their own test client. During 'normal' HTTP/2 use, the probability to hit this bug is very low.
  The kept memory would not become noticeable before the connection closes or times out.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.17 - 2.4.57 DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.100310)
Version used: 2024-08-02T05:05:39Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-2996,DFN-CERT-2026-2301,DFN-CERT-2024-2968,DFN-CERT-2024-1411,DFN-CERT-2024-1335,DFN-CERT-2024-1152,DFN-CERT-2024-1010,DFN-CERT-2023-3071,DFN-CERT-2023-2596,DFN-CERT-2023-2583,WID-SEC-2024-0769,WID-SEC-2023-2917,WID-SEC-2023-2712",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server 2.4.17 < 2.4.49 mod_proxy HTTP/2 Request Smuggling Vulnerability - Linux","Apache HTTP Server is prone to an HTTP/2 request smuggling
  vulnerability in the 'mod_proxy' module.","Installed version: 2.4.25
Fixed version:     2.4.49
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117615,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,6a968f86-2b01-4563-a843-472f9d0eb8e9,"","Update to version 2.4.49 or later.","Apache HTTP Server version 2.4.17 through 2.4.48 running the
  mod_proxy module together with an enabled HTTP/2 protocol.","Apache's mod_proxy allows spaces in the :method of HTTP/2
  requests, enabling request line injection. If the back-end server tolerates trailing junk in the
  request line, this lets an attacker to bypass block rules.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.17 < 2.4.49 'mod_proxy' HTTP/2 Request Smuggling Vuln...
(OID: 1.3.6.1.4.1.25623.1.0.117615)
Version used: 2026-06-10T06:59:19Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-0497,DFN-CERT-2022-2405,DFN-CERT-2022-2167,DFN-CERT-2022-1047,DFN-CERT-2021-2471,DFN-CERT-2021-1961,DFN-CERT-2021-1854,WID-SEC-2024-1591,WID-SEC-2022-0722,CB-K21/0878",""
172.20.0.2,,80,tcp,5.0,Medium,30,"VendorFix","Apache HTTP Server 2.4.17 < 2.4.64 DoS Vulnerability - Linux","Apache HTTP Server is prone to a denial of service (DoS)
  vulnerability via HTTP/2.","Installed version: 2.4.25
Fixed version:     2.4.64
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.154915,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,c4ade627-55bb-4dc2-a01a-59d1eb436668,"","Update to version 2.4.64 or later.","Apache HTTP Server version 2.4.17 through 2.4.63.","Late release of memory after effective lifetime vulnerability
  in Apache HTTP Server.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.17 < 2.4.64 DoS Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154915)
Version used: 2025-07-11T15:43:14Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2026-4173,DFN-CERT-2026-3920,DFN-CERT-2026-3218,DFN-CERT-2026-2996,DFN-CERT-2026-2802,DFN-CERT-2026-2415,DFN-CERT-2026-2380,DFN-CERT-2026-2377,DFN-CERT-2025-2182,DFN-CERT-2025-1860,WID-SEC-2025-1850,WID-SEC-2025-1529",""
172.20.0.2,,80,tcp,7.5,High,30,"VendorFix","Apache HTTP Server 2.4.20 - 2.4.39 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.25
Fixed version:     2.4.41
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114147,"",f17ad8c4-2e80-4091-a93d-0e8f7a384588,"SI084-S03 Escaneo audit_net v2 (Full and fast, Consider Alive)",2026-09-03T01:59:16Z,0db58e2e-dd48-4c86-8deb-f61507e8198f,"","Update to version 2.4.41 or later.","Apache HTTP Server version 2.4.20 to 2.4.39.","Apache HTTP server is prone to multiple vulnerabilities:

  - A malicious client could perform a DoS attack by flooding a connection with requests and
  basically never reading responses on the TCP connection. Depending on h2 worker dimensioning,
  it was possible to block those with relatively few connections. (CVE-2019-9517)

  - HTTP/2 very early pushes, for example configured with 'H2PushResource', could lead to
  an overwrite of memory in the pushing request's pool, leading to crashes. The memory
  copied is that of the configured push link header values, not data supplied by
  the client. (CVE-2019-10081)","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.20 - 2.4.39 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114147)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.25
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2021-0776,DFN-CERT-2020-2422,DFN-CERT-2020-0779,DFN-CERT-2020-0716,DFN-CERT-2020-0640,DFN-CERT-2020-0630,DFN-CERT-2020-0595,DFN-CERT-2020-0054,DFN-CERT-2019-2456,DFN-CERT-2019-1992,DFN-CERT-2019-1810,DFN-CERT-2019-1751,DFN-CERT-2019-1727,DFN-CERT-2019-1690,WID-SEC-2024-1591,CB-K20/0708,CB-K19/0909,CB-K19/0728",""
